[11/15/22 11:22AM] Para used command ::interface 48270 | Player rights = DEVELOPER	
[11/15/22 11:22AM] Para used command ::interface 48270 | Player rights = DEVELOPER	
[11/15/22 11:22AM] Para used command ::interface 57210 | Player rights = DEVELOPER	
[11/15/22 11:22AM] Para used command ::interface 57150 | Player rights = DEVELOPER	
[11/15/22 11:23AM] Para used command ::interface 57265 | Player rights = DEVELOPER	
[11/15/22 11:23AM] Para used command ::handlerewards | Player rights = DEVELOPER	
[11/15/22 11:23AM] Para used command ::handlerewards | Player rights = DEVELOPER	
[11/15/22 11:28AM] Para used command ::master | Player rights = DEVELOPER	
[11/15/22 11:28AM] Para used command ::item 23846 1 | Player rights = DEVELOPER	
[11/15/22 11:29AM] Para used command ::item 23841 1 | Player rights = DEVELOPER	
[11/15/22 11:32AM] Para used command ::upgrade | Player rights = DEVELOPER	
[11/15/22 11:33AM] Para used command ::interface 30330 | Player rights = DEVELOPER	
[11/15/22 11:34AM] Para used command ::interface 30330 | Player rights = DEVELOPER	
[11/15/22 11:34AM] Para used command ::interface 19700 | Player rights = DEVELOPER	
[11/15/22 11:34AM] Para used command ::interface 30330 | Player rights = DEVELOPER	
[11/15/22 11:35AM] Para used command ::interface 62200 | Player rights = DEVELOPER	
[12/15/22 09:11PM] Para used command ::tele 2529 4061 | Player rights = DEVELOPER	
[12/15/22 10:32PM] Para used command ::repack | Player rights = DEVELOPER	
[12/15/22 10:37PM] Para used command ::up | Player rights = DEVELOPER	
[12/15/22 10:37PM] Para used command ::down | Player rights = DEVELOPER	
[12/15/22 10:38PM] Para used command ::down | Player rights = DEVELOPER	
[12/15/22 10:38PM] Para used command ::up | Player rights = DEVELOPER	
[12/18/22 07:51AM] Para used command ::bank | Player rights = DEVELOPER	
[12/18/22 07:52AM] Para used command ::kick para | Player rights = DEVELOPER	
[12/18/22 08:05AM] Para used command ::telealltome | Player rights = DEVELOPER	
[12/18/22 08:06AM] Para used command ::teletome grim | Player rights = DEVELOPER	
[12/18/22 08:09AM] Para used command ::tele 2529 4089 | Player rights = DEVELOPER	
[12/18/22 08:10AM] Para used command ::tele 2527 4086 | Player rights = DEVELOPER	
[12/18/22 08:12AM] Para used command ::tele 2529 4086 | Player rights = DEVELOPER	
[12/18/22 08:13AM] Para used command ::tele 2527 4086 | Player rights = DEVELOPER	
[12/18/22 08:16AM] Para used command ::tele 2527 4089 | Player rights = DEVELOPER	
[12/18/22 08:16AM] Para used command ::tele 2529 4089 | Player rights = DEVELOPER	
[12/18/22 08:19AM] Para used command ::tele 2528 4086 | Player rights = DEVELOPER	
[12/18/22 08:19AM] Para used command ::tele 2528 4089 | Player rights = DEVELOPER	
[12/18/22 08:22AM] Para used command ::tele 2528 4081 | Player rights = DEVELOPER	
[12/18/22 08:22AM] Para used command ::tele 2528 4075 | Player rights = DEVELOPER	
[12/18/22 08:22AM] Para used command ::tele 2528 4067 | Player rights = DEVELOPER	
[12/18/22 08:22AM] Para used command ::tele 2520 4066 | Player rights = DEVELOPER	
[12/18/22 08:25AM] Para used command ::tele 2521 4066 | Player rights = DEVELOPER	
[12/18/22 08:25AM] Para used command ::tele 2523 4066 | Player rights = DEVELOPER	
[12/18/22 08:27AM] Para used command ::tele 2524 4066 | Player rights = DEVELOPER	
[12/18/22 08:35AM] Para used command ::tele 2529 4090 | Player rights = DEVELOPER	
[12/18/22 08:36AM] Para used command ::tele 2528 4089 | Player rights = DEVELOPER	
[12/18/22 08:37AM] Para used command ::tele 2526 4090 | Player rights = DEVELOPER	
[12/18/22 08:38AM] Para used command ::dd 155 | Player rights = DEVELOPER	
[12/18/22 08:38AM] Para used command ::dd 155 | Player rights = DEVELOPER	
