[12/16/21 07:26PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/16/21 07:26PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/16/21 07:27PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/16/21 07:28PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/16/21 07:28PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/16/21 07:37PM] Player dropping item: Solak Tokens, amount: 10000	
[12/16/21 07:37PM] Picked up gr.Item Solak Tokens, amount: 10000	
[12/16/21 07:49PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/16/21 07:49PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/18/21 11:34PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/18/21 11:39PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/18/21 11:41PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/19/21 09:14AM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/19/21 09:27AM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/19/21 11:08AM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/19/21 11:28AM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/19/21 11:30AM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/19/21 11:32AM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/19/21 11:32AM] Player dropping item: Master max cape, amount: 1	
[12/19/21 11:32AM] Picked up gr.Item Master max cape, amount: 1	
[12/19/21 12:59PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/19/21 12:59PM] Player dropping item: Master max cape, amount: 1	
[12/19/21 12:59PM] Picked up gr.Item Master max cape, amount: 1	
[12/19/21 01:04PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/19/21 01:05PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/19/21 01:16PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/19/21 01:20PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/19/21 01:20PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/19/21 02:10PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/19/21 05:51PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/19/21 05:52PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/19/21 05:52PM] Player dropping item: COL Torva body, amount: 1	
[12/19/21 05:52PM] Picked up gr.Item COL Torva body, amount: 1	
[12/19/21 06:05PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/19/21 06:09PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/19/21 06:11PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/19/21 06:11PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/19/21 07:00PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/19/21 07:00PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/19/21 07:03PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/19/21 07:04PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/19/21 07:13PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/19/21 07:14PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/19/21 07:14PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/19/21 07:15PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/19/21 07:16PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/19/21 07:17PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/19/21 07:18PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/20/21 01:47PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/20/21 08:29PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/20/21 08:31PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/20/21 08:36PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/20/21 08:40PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/20/21 08:41PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/20/21 08:42PM] Player destroying item: -1, amount: 0	
[12/20/21 08:54PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/20/21 08:55PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/20/21 08:56PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/20/21 08:57PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/20/21 08:58PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/20/21 09:00PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/20/21 09:00PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
