[11/15/22 08:23AM] The Traveling merchant restocked his shop with new items!	
[11/15/22 11:15AM] The Traveling merchant restocked his shop with new items!	
[12/14/22 09:44PM] The Traveling merchant restocked his shop with new items!	
[12/15/22 09:09PM] The Traveling merchant restocked his shop with new items!	
[12/15/22 09:09PM] <col=ff0000>Para <col=a72800>completed the achievement <col=ff0000>Skill grinder!	
[12/15/22 09:09PM] <col=ff0000>Para <col=a72800>completed the achievement <col=ff0000>Max out!	
[12/15/22 09:14PM] <col=ff0000>Para <col=a72800>completed the achievement <col=ff0000>Max out!	
[12/15/22 09:14PM] <col=ff0000>Para <col=a72800>completed the achievement <col=ff0000>Skill grinder!	
[12/15/22 09:16PM] The Traveling merchant restocked his shop with new items!	
[12/15/22 09:48PM] The Traveling merchant restocked his shop with new items!	
[12/15/22 09:50PM] The Traveling merchant restocked his shop with new items!	
[12/15/22 09:53PM] The Traveling merchant restocked his shop with new items!	
[12/15/22 09:58PM] The Traveling merchant restocked his shop with new items!	
[12/15/22 10:00PM] The Traveling merchant restocked his shop with new items!	
[12/15/22 10:09PM] The Traveling merchant restocked his shop with new items!	
[12/15/22 10:13PM] The Traveling merchant restocked his shop with new items!	
[12/15/22 10:15PM] The Traveling merchant restocked his shop with new items!	
[12/15/22 10:17PM] The Traveling merchant restocked his shop with new items!	
[12/15/22 10:23PM] The Traveling merchant restocked his shop with new items!	
[12/15/22 10:43PM] The Traveling merchant restocked his shop with new items!	
[12/18/22 07:06AM] The Traveling merchant restocked his shop with new items!	
[12/18/22 07:51AM] The Traveling merchant restocked his shop with new items!	
[12/18/22 08:33AM] The Traveling merchant restocked his shop with new items!	
[12/20/22 01:05PM] The Traveling merchant restocked his shop with new items!	
[12/21/22 06:15AM] The Traveling merchant restocked his shop with new items!	
[12/21/22 06:26AM] The Traveling merchant restocked his shop with new items!	
[12/21/22 10:09AM] The Traveling merchant restocked his shop with new items!	
[12/21/22 10:12AM] @blu@News: @red@Grim @blu@has received @red@$5 Bond@blu@ from a @red@OP Chest	
[12/21/22 10:12AM] @blu@News: @red@Grim @blu@has received @red@$10 Bond@blu@ from a @red@OP Chest	
[12/21/22 10:12AM] @blu@News: @red@Grim @blu@has received @red@$5 Bond@blu@ from a @red@OP Chest	
[12/21/22 10:12AM] @blu@News: @red@Grim @blu@has received @red@$10 Bond@blu@ from a @red@OP Chest	
[12/21/22 10:12AM] @blu@News: @red@Grim @blu@has received @red@$5 Bond@blu@ from a @red@OP Chest	
[12/21/22 10:12AM] @blu@News: @red@Grim @blu@has received @red@Collector necklace@blu@ from a @red@Launch Chest	
[12/21/22 10:12AM] @red@Grim <col=ff812f>has just received @red@ $25 Bond<col=ff812f> from a @red@Ruby Casket!	
[12/21/22 10:12AM] @red@Grim <col=ff812f>has just received @red@ $50 Bond<col=ff812f> from a @red@Silver Casket!	
[12/21/22 10:12AM] @red@Grim <col=ff812f>has just received @red@x10 Upgrade Token pack (100k)<col=ff812f> from a @red@Silver Casket!	
[12/21/22 10:12AM] @red@Grim <col=ff812f>has just received @red@x10 Upgrade Token pack (100k)<col=ff812f> from a @red@Silver Casket!	
[12/21/22 10:14AM] @red@Grim <col=ff812f>has just received @red@ $25 Bond<col=ff812f> from a @red@Onyx Casket!	
[12/21/22 10:14AM] @red@Grim <col=ff812f>has just received @red@ $50 Bond<col=ff812f> from a @red@Silver Casket!	
[12/21/22 10:14AM] @red@Grim <col=ff812f>has just received @red@ $50 Bond<col=ff812f> from a @red@Silver Casket!	
[12/21/22 10:14AM] @red@Grim <col=ff812f>has just received @red@ Collector necklace<col=ff812f> from a @red@Silver Casket!	
[12/21/22 10:14AM] @red@Grim <col=ff812f>has just received @red@ Collector ring<col=ff812f> from a @red@Silver Casket!	
[12/21/22 10:14AM] @red@Grim <col=ff812f>has just received @red@ $25 Bond<col=ff812f> from a @red@Silver Casket!	
[12/21/22 10:14AM] @red@Grim <col=ff812f>has just received @red@ Collector necklace<col=ff812f> from a @red@Silver Casket!	
[12/21/22 10:14AM] @blu@News: @red@Grim @blu@has received @red@Owner cape@blu@ from a @red@Owner Cape Goodiebag	
[12/21/22 10:15AM] @blu@News: @red@Grim @blu@has received @red@$10 Bond@blu@ from a @red@Grand Mystery Box	
[12/21/22 10:15AM] @blu@News: @red@Grim @blu@has received @red@$5 Bond@blu@ from a @red@Grand Mystery Box	
[12/21/22 10:15AM] @blu@News: @red@Grim @blu@has received @red@$10 Bond@blu@ from a @red@Grand Mystery Box	
[12/21/22 10:15AM] @blu@News: @red@Grim @blu@has received @red@$10 Bond@blu@ from a @red@Grand Mystery Box	
[12/21/22 10:15AM] @blu@News: @red@Grim @blu@has received @red@$10 Bond@blu@ from a @red@Grand Mystery Box	
[12/21/22 10:15AM] @blu@News: @red@Grim @blu@has received @red@$5 Bond@blu@ from a @red@Grand Mystery Box	
[12/21/22 10:15AM] @blu@News: @red@Grim @blu@has received @red@$10 Bond@blu@ from a @red@Grand Mystery Box	
[12/21/22 10:15AM] @blu@News: @red@Grim @blu@has received @red@$5 Bond@blu@ from a @red@Grand Mystery Box	
