[3/16/22 04:35PM] Quiet Prof used command ::repackindex4 | Player rights = DEVELOPER	
[3/16/22 04:57PM] Quiet Prof used command ::bank | Player rights = DEVELOPER	
[3/16/22 05:00PM] Quiet Prof used command ::ie | Player rights = DEVELOPER	
[3/16/22 05:06PM] Quiet Prof used command ::item 6834 | Player rights = DEVELOPER	
[3/16/22 05:06PM] Quiet Prof used command ::item 6834 | Player rights = DEVELOPER	
[3/16/22 05:07PM] Quiet Prof used command ::npc 9007 | Player rights = DEVELOPER	
[3/16/22 05:07PM] Quiet Prof used command ::pnpc 6330 | Player rights = DEVELOPER	
[3/16/22 05:16PM] Quiet Prof used command ::empty | Player rights = DEVELOPER	
[3/16/22 05:18PM] Quiet Prof used command ::pnpc 6330 | Player rights = DEVELOPER	
[3/16/22 05:19PM] Quiet Prof used command ::logout | Player rights = DEVELOPER	
[3/16/22 05:32PM] Quiet Prof used command ::id aura | Player rights = DEVELOPER	
[3/16/22 05:33PM] Quiet Prof used command ::item 12609 | Player rights = DEVELOPER	
[3/16/22 05:33PM] Quiet Prof used command ::item 1260 | Player rights = DEVELOPER	
[3/16/22 05:33PM] Quiet Prof used command ::item 15449 | Player rights = DEVELOPER	
[3/16/22 05:33PM] Quiet Prof used command ::item 23049 | Player rights = DEVELOPER	
[3/16/22 05:54PM] Quiet Prof used command ::item 23029 | Player rights = DEVELOPER	
[3/17/22 03:07PM] Quiet Prof used command ::logout | Player rights = DEVELOPER	
[3/17/22 03:12PM] Quiet Prof used command ::ITEM 39 | Player rights = DEVELOPER	
[3/17/22 03:12PM] Quiet Prof used command ::item 23048 | Player rights = DEVELOPER	
[3/17/22 03:38PM] Quiet Prof used command ::empty | Player rights = DEVELOPER	
[3/18/22 02:37PM] Quiet Prof used command ::interface 21172 | Player rights = DEVELOPER	
[3/18/22 02:37PM] Quiet Prof used command ::interface 21172 | Player rights = DEVELOPER	
[3/18/22 03:33PM] Quiet Prof used command ::interface 21172 | Player rights = DEVELOPER	
[3/18/22 03:59PM] Quiet Prof used command ::home | Player rights = DEVELOPER	
[3/18/22 04:04PM] Quiet Prof used command ::item 1540 | Player rights = DEVELOPER	
[3/18/22 04:04PM] Quiet Prof used command ::item 15450 | Player rights = DEVELOPER	
[3/18/22 04:20PM] Quiet Prof used command ::interface 21172 | Player rights = DEVELOPER	
[3/18/22 04:22PM] Quiet Prof used command ::pnpc 6330 | Player rights = DEVELOPER	
[3/18/22 04:24PM] Quiet Prof used command ::pnpc 6330 | Player rights = DEVELOPER	
[3/18/22 04:24PM] Quiet Prof used command ::pnpc 6330 | Player rights = DEVELOPER	
[3/18/22 04:42PM] Quiet Prof used command ::logout | Player rights = DEVELOPER	
