[3/13/22 02:19PM] Quiet Prof2 used command ::home | Player rights = DEVELOPER	
[3/13/22 02:19PM] Quiet Prof2 used command ::afk | Player rights = DEVELOPER	
[3/16/22 04:31PM] Quiet Prof2 used command ::logout | Player rights = DEVELOPER	
[3/18/22 04:50PM] Quiet Prof2 used command ::id lucien axe | Player rights = DEVELOPER	
[3/18/22 04:50PM] Quiet Prof2 used command ::item 17715 | Player rights = DEVELOPER	
[3/18/22 04:51PM] Quiet Prof2 used command ::item 17714 | Player rights = DEVELOPER	
[3/18/22 04:51PM] Quiet Prof2 used command ::id extreme aura | Player rights = DEVELOPER	
[3/18/22 04:51PM] Quiet Prof2 used command ::item 15549 | Player rights = DEVELOPER	
[3/18/22 04:51PM] Quiet Prof2 used command ::item 15449 | Player rights = DEVELOPER	
[3/18/22 04:52PM] Quiet Prof2 used command ::master | Player rights = DEVELOPER	
[3/18/22 04:56PM] Quiet Prof2 used command ::npc 3301 | Player rights = DEVELOPER	
[3/18/22 04:56PM] Quiet Prof2 used command ::god | Player rights = DEVELOPER	
[3/18/22 04:59PM] Quiet Prof2 used command ::npc 6331 | Player rights = DEVELOPER	
[3/18/22 04:59PM] Quiet Prof2 used command ::pnpc 6331 | Player rights = DEVELOPER	
[3/18/22 05:00PM] Quiet Prof2 used command ::npc 12239 | Player rights = DEVELOPER	
[3/18/22 05:01PM] Quiet Prof2 used command ::logout | Player rights = DEVELOPER	
[3/28/22 06:06PM] Quiet Prof2 used command ::id aura | Player rights = DEVELOPER	
[3/28/22 06:06PM] Quiet Prof2 used command ::item 22120 | Player rights = DEVELOPER	
[3/28/22 06:06PM] Quiet Prof2 used command ::item 22111 | Player rights = DEVELOPER	
[3/28/22 06:06PM] Quiet Prof2 used command ::item 15450 | Player rights = DEVELOPER	
[3/28/22 06:08PM] Quiet Prof2 used command ::item 23057 | Player rights = DEVELOPER	
[3/28/22 06:11PM] Quiet Prof2 used command ::email | Player rights = DEVELOPER	
[3/28/22 06:25PM] Quiet Prof2 used command ::coords | Player rights = DEVELOPER	
[3/28/22 06:30PM] Quiet Prof2 used command ::home | Player rights = DEVELOPER	
[3/28/22 06:31PM] Quiet Prof2 used command ::staffzone | Player rights = DEVELOPER	
[3/28/22 06:32PM] Quiet Prof2 used command ::bank | Player rights = DEVELOPER	
[3/28/22 06:32PM] Quiet Prof2 used command ::home | Player rights = DEVELOPER	
[3/28/22 06:32PM] Quiet Prof2 used command ::home | Player rights = DEVELOPER	
[3/28/22 06:33PM] Quiet Prof2 used command ::bank | Player rights = DEVELOPER	
[3/28/22 06:33PM] Quiet Prof2 used command ::szone | Player rights = DEVELOPER	
[3/28/22 06:35PM] Quiet Prof2 used command ::home | Player rights = DEVELOPER	
[3/28/22 06:47PM] Quiet Prof2 used command ::tele 2080 4455 | Player rights = DEVELOPER	
[3/28/22 06:47PM] Quiet Prof2 used command ::tele 2078 4452 | Player rights = DEVELOPER	
[3/28/22 06:48PM] Quiet Prof2 used command ::tele 2078 4448 | Player rights = DEVELOPER	
[3/28/22 06:48PM] Quiet Prof2 used command ::tele 2078 4443 | Player rights = DEVELOPER	
[3/28/22 06:48PM] Quiet Prof2 used command ::tele 2078 4437 | Player rights = DEVELOPER	
[3/28/22 06:48PM] Quiet Prof2 used command ::tele 2078 4443 | Player rights = DEVELOPER	
