[3/16/22 05:33PM] Player dropped item: Adamant spear (p), id: 1260, amount: 1	
[3/19/22 09:27AM] Player dropped item: Execution boots, id: 8274, amount: 1	
[3/19/22 09:28AM] Player dropped item: Execution gloves, id: 8273, amount: 1	
[3/19/22 09:38AM] Player dropped item: Red dye, id: 1764, amount: 1	
[3/19/22 09:52AM] Player dropped item: Yellow dye, id: 1766, amount: 1	
[3/19/22 12:10PM] Player dropped item: Salarumai body, id: 17648, amount: 1	
[3/19/22 12:16PM] Player dropped item: Salarumai body, id: 17648, amount: 1	
[3/19/22 12:44PM] Player dropped item: Salarumai body, id: 17648, amount: 1	
[3/20/22 08:00AM] Player dropped item: Arcnum helm, id: 17594, amount: 1	
[3/20/22 08:48AM] Player dropped item: None, id: 22108, amount: 1	
[3/20/22 10:17AM] Player dropped item: Eternal dragon egg, id: 463, amount: 1	
[3/28/22 07:24PM] Player dropped item: Nymora helm, id: 23061, amount: 1	
[3/28/22 07:24PM] Player dropped item: Deep blue Slayer helm (T3), id: 23070, amount: 1	
[3/29/22 07:26PM] Player dropped item: Aspect Tokens, id: 10835, amount: 99150000	
[3/29/22 09:57PM] Player dropped item: Yellow bell, id: 6847, amount: 1	
[4/3/22 09:16AM] Player dropped item: $10 Bond, id: 23057, amount: 1	
[4/3/22 10:52AM] Player dropped item: Infinite prayer potion (T3), id: 23123, amount: 1	
[4/3/22 02:23PM] Player dropped item: Rage Attachment, id: 9083, amount: 1	
[4/3/22 02:23PM] Player dropped item: Supreme Attachment, id: 10947, amount: 1	
[4/3/22 02:23PM] Player dropped item: Magic attachement, id: 23148, amount: 1	
[4/3/22 02:23PM] Player dropped item: Owner's Attachment, id: 11000, amount: 1	
[4/3/22 02:23PM] Player dropped item: Owner's Attachment, id: 11000, amount: 1	
[4/3/22 02:24PM] Player dropped item: Magic max cape, id: 23158, amount: 1	
[4/3/22 02:35PM] Player dropped item: Halls of Valor Key, id: 23086, amount: 1	
[4/3/22 02:35PM] Player dropped item: Halls of Valor Key, id: 23086, amount: 1	
[4/3/22 02:35PM] Player dropped item: Halls of Valor Key, id: 23086, amount: 1	
[4/3/22 02:50PM] Player dropped item: Starter Defender, id: 19914, amount: 1	
[4/3/22 02:54PM] Player dropped item: Ruby Exclusive Casket, id: 15002, amount: 1	
[4/5/22 09:27PM] Player dropped item: Vision's Magic Ring, id: 23092, amount: 1	
[4/5/22 09:27PM] Player dropped item: Vision's Archer Ring, id: 23093, amount: 1	
[4/5/22 09:27PM] Player dropped item: Vision's Melee Ring, id: 23094, amount: 1	
[4/5/22 09:33PM] Player dropped item: Vision's Magic Ring, id: 23092, amount: 1	
[4/5/22 10:32PM] Player dropped item: Special Bones, id: 2027, amount: 1	
[4/5/22 10:32PM] Player dropped item: Lazycat Bones, id: 2024, amount: 1	
[4/6/22 09:20PM] Player dropped item: Lil Bones, id: 2023, amount: 5	
[4/6/22 09:20PM] Player dropped item: Aspect Coins, id: 995, amount: 74756	
[4/6/22 09:22PM] Player dropped item: Aspect Coins, id: 995, amount: 28824	
[4/6/22 09:22PM] Player dropped item: Lil Bones, id: 2023, amount: 1	
[4/6/22 09:23PM] Player dropped item: Lil Bones, id: 2023, amount: 1	
[4/6/22 09:23PM] Player dropped item: Aspect Coins, id: 995, amount: 28668	
[4/6/22 09:27PM] Player dropped item: Aspect Coins, id: 995, amount: 54230661	
[4/6/22 11:21PM] Player dropped item: Vindicta staff, id: 17600, amount: 1	
