[3/13/22 02:19PM] Login. ip: 127.0.0.1, mac: 5CD1482K2P20220302041459.000000-480, uuid: 00-FF-4F-27-9B-EF	
[3/16/22 04:31PM] Login. ip: 127.0.0.1, mac: 5CD1482K2P20220302041459.000000-480, uuid: 00-FF-4F-27-9B-EF	
[3/18/22 04:50PM] Login. ip: 127.0.0.1, mac: 5CD1482K2P20220302041459.000000-480, uuid: 00-FF-4F-27-9B-EF	
[3/18/22 04:59PM] Login. ip: 127.0.0.1, mac: 5CD1482K2P20220302041459.000000-480, uuid: 00-FF-4F-27-9B-EF	
[3/28/22 06:03PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406004659.000000-420, uuid: 12-5B-AD-CB-DD-BB	
[3/28/22 06:08PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406004659.000000-420, uuid: 12-5B-AD-CB-DD-BB	
[3/28/22 06:09PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406004659.000000-420, uuid: 12-5B-AD-CB-DD-BB	
[3/28/22 06:09PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406004659.000000-420, uuid: 12-5B-AD-CB-DD-BB	
[3/28/22 06:09PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406004659.000000-420, uuid: 12-5B-AD-CB-DD-BB	
[3/28/22 06:15PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406004659.000000-420, uuid: 12-5B-AD-CB-DD-BB	
[3/28/22 06:31PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406004659.000000-420, uuid: 12-5B-AD-CB-DD-BB	
[3/28/22 06:40PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406004659.000000-420, uuid: 12-5B-AD-CB-DD-BB	
[4/3/22 07:51PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406004659.000000-420, uuid: 12-5B-AD-CB-DD-BB	
